Order of Appearance,Variable Name,Variable Label,Answer Label,Transformations,Ideas
1,child_id,Unique child ID,Open ended,Drop,Unique Identifier
2,data_year,Year data was collected,Open ended,Convert to Categorical,
3,child_date,ELOM date,Open ended,Convert to Date,Try it represented in unixtime
4,child_age,Child age in months,Open ended,Nothing,
5,child_enrolment_date,Date enrolled in ELP,Open ended,Convert to Date,Try it represented in unixtime
6,child_months_enrolment,Months enrolled at ELP,Open ended,Nothing,
7,child_grant,Does the childs primary caretaker receive the Child Support Grant?,,Nothing,
8,child_years_in_programme,For how many years has this child been in the programme?,,Convert to Ordinal,Try as an object first
9,child_height,Child height in cm,Open ended,Nothing,
10,child_observe_attentive,Did the child pay attention to the instructions and demonstrations throughout...,,Convert to Ordinal,
11,child_observe_concentrated,Did the child stay concentrated and on task during the activities and was not...,,Convert to Ordinal,
12,child_observe_diligent,Was the child careful and diligent on tasks? Was child interested in accuracy?,,Convert to Ordinal,
13,child_observe_interested,Was the child interested and curious about the tasks throughout the assessment?,,Convert to Ordinal,
14,child_observe_total,Total score from observing the child during assessments,Open ended,Nothing,
15,child_gender,Child gender,,Nothing,
16,child_dob,Child date of birth,Open ended,Convert to Date,Try it represented in unixtime
17,child_zha,Height for age based on WHO criteria (z-score),Open ended,Nothing,
18,child_stunted,Stunted indicator,,Nothing,
19,child_attends,Does child attend an ECD programme?,,Nothing,
20,child_attendance,How many days per week does the child attend the ECD programme,,Nothing,
21,child_languages,Child home language(s),,Nothing,
22,child_age_group,Age group category,,Nothing,
23,id_mn_best,Municipality : Best ID (geo data),Open ended,Nothing,
24,prov_best,Province : Best (geo data),Open ended,Nothing,
25,id_dc_best,District : Best ID (geo data),Open ended,Nothing,
26,dc_best,District : Best (geo data),Open ended,Nothing,
27,mn_best,Municipality : Best (geo data),Open ended,Nothing,
28,ward_best,Ward : Best (geo data),Open ended,Convert to Categorical,
29,id_enumerator,ID enumerator,Open ended,Convert to Categorical,
30,id_facility,Facility ID,Open ended,Convert to Categorical,
31,pqa_date,Date,Open ended,Convert to Date,Try it represented in unixtime
32,pqa_class_age,Age range of children in the class,Open ended,Nothing,
33,pqa_class_age_1,0-17 months,,Nothing,
34,pqa_class_age_2,18-35 months,,Nothing,
35,pqa_class_age_3,3 years,,Nothing,
36,pqa_class_age_4,4 years,,Nothing,
37,pqa_class_age_5,5 years,,Nothing,
38,pqa_class_age_6,6 years,,Nothing,
39,pqa_class_assistants,Number of teaching assistants,Open ended,Nothing,
40,pqa_environment_areas,During playtimes the room is divided into learning areas/interest centres.,,Convert to Ordinal (Clean First),
41,pqa_environment_variety,There are enough and varied materials for play and learning indoors.,,Convert to Ordinal (Clean First),
42,pqa_environment_appropriate,Materials for play and learning are developmentally appropriate for 4 – 5 year olds.,,Convert to Ordinal (Clean First),
43,pqa_environment_accessible,Materials are accessible and safe for children.,,Convert to Ordinal (Clean First),
44,pqa_environment_open,"There are open ended materials (blocks, bottle tops, cloths, make believe, bo...",,Convert to Ordinal (Clean First),
45,pqa_environment_outdoor,Outdoor materials and equipment (small and large) to encourage development o...,,Convert to Ordinal (Clean First),
46,pqa_score_environment,Score Learning Environment: environment_areas + environment_variety + environmen,Open ended,Nothing,
